tag,opertaionID,summary,method,path
[Infra service] MCIS Provisioning management,PostMcisSubGroupScaleOut,ScaleOut subGroup in specified MCIS,post,/ns/{nsid}/mcis/{mcisid}/subgroup/{subgroupid}
[Infra service] MCIS Provisioning management,GetMcisGroupVms,List VMs with a SubGroup label in a specified MCIS,get,/ns/{nsid}/mcis/{mcisid}/subgroup/{subgroupid}
[Infra resource] MCIR Security group management,DelAllSecurityGroup,Delete all Security Groups,delete,/ns/{nsid}/resources/securitygroup
[Infra resource] MCIR Security group management,PostSecurityGroup,Create Security Group,post,/ns/{nsid}/resources/securitygroup
[Infra resource] MCIR Security group management,GetAllSecurityGroup,List all Security Groups or Security Groups' ID,get,/ns/{nsid}/resources/securitygroup
[Admin] Multi-Cloud environment configuration,GetRegion,Get registered region info,get,/provider/{providername}/region/{regionname}
[Infra resource] MCIR Image management,GetImage,Get image,get,/ns/{nsid}/resources/image/{imageid}
[Infra resource] MCIR Image management,DelImage,Delete image,delete,/ns/{nsid}/resources/image/{imageid}
[Infra resource] MCIR Image management,PutImage,Update image,put,/ns/{nsid}/resources/image/{imageid}
[Infra resource] NLB management,PostMcNLB,Create a special purpose MCIS for NLB and depoly and setting SW NLB,post,/ns/{nsid}/mcis/{mcisid}/mcswnlb
[Infra resource] K8sCluster management,PostK8sNodeGroup,Add a K8sNodeGroup,post,/ns/{nsid}/k8scluster/{k8sclusterid}/k8snodegroup
[Infra resource] NLB management,GetNLBHealth,Get NLB Health,get,/ns/{nsid}/mcis/{mcisid}/nlb/{nlbid}/healthz
[Admin] Multi-Cloud environment configuration,GetCloudInfo,Get cloud information,get,/cloudinfo
[Infra service] MCIS Resource monitor (for developer),GetMonitorData,"Get monitoring data of specified MCIS for specified monitoring metric (cpu, memory, disk, network)",get,/ns/{nsid}/monitoring/mcis/{mcisid}/metric/{metric}
[Infra service] MCIS Provisioning management,RecommendVm,Recommend MCIS plan (filter and priority),post,/mcisrecommendvm
[Infra resource] MCIR Common,CheckResource,Check resources' existence,get,/{nsid}/checkresource/{resourcetype}/{resourceid}
